Local Government Area,Owned - outright,Owned - with a mortgage,Rented - Real estate agent,Rented - State or territory housing authority,Rented - Person not in same household,"Rented - Housing co-operative, community or church group",Rented - Other landlord type ,Rented - Landlord type not stated,Other tenure type,Tenure type not stated,Total,Median mortgage repayment ($/monthly),State
LGA58510 Victoria Park (T),"2,731","3,767","3,041",666,"1,683",258,172,82,293,392,"13,085","2,167",Western Australia
LGA58540 Victoria Plains (S),149,63,0,14,28,5,51,19,4,13,346,477,Western Australia
LGA58570 Vincent (T),"3,168","3,921","2,899",432,"1,743",84,133,82,97,252,"12,811","2,300",Western Australia
LGA58610 Wagin (S),297,226,26,27,60,14,33,16,0,25,724,927,Western Australia
LGA58680 Wandering (S),80,43,4,0,15,0,7,6,6,5,166,"2,167",Western Australia
LGA58760 Wanneroo (C),"10,254","26,746","5,532","1,350","3,511",138,400,179,829,937,"49,876","2,104",Western Australia
LGA58820 Waroona (S),490,490,103,38,121,3,21,14,22,37,"1,339","1,517",Western Australia
LGA58890 West Arthur (S),173,75,4,6,38,4,25,13,7,9,354,712,Western Australia
LGA59030 Westonia (S),50,13,3,7,7,0,7,3,4,5,99,"1,439",Western Australia
LGA59100 Wickepin (S),145,56,0,11,34,3,13,8,6,13,289,611,Western Australia
LGA59170 Williams (S),152,98,8,15,43,4,22,15,7,0,364,"1,083",Western Australia
LGA59250 Wiluna (S),18,4,0,35,7,6,35,6,0,3,114,190,Western Australia
LGA59310 Wongan-Ballidu (S),208,147,18,31,69,12,35,9,11,22,562,975,Western Australia
LGA59320 Woodanilling (S),76,45,5,0,12,0,9,6,4,0,157,563,Western Australia
LGA59330 Wyalkatchem (S),98,41,3,12,25,4,15,7,3,11,219,585,Western Australia
LGA59340 Wyndham-East Kimberley (S),387,366,175,453,147,128,430,47,36,97,"2,266","2,167",Western Australia
LGA59350 Yalgoo (S),11,5,0,14,4,0,7,7,4,4,56,0,Western Australia
LGA59360 Yilgarn (S),191,103,6,20,63,3,46,24,12,10,478,867,Western Australia
LGA59370 York (S),582,438,72,60,84,0,26,19,12,37,"1,330","1,404",Western Australia
LGA60210 Break O'Day (M),"1,271",620,240,71,184,4,53,39,21,82,"2,585",953,Tasmania
LGA60410 Brighton (M),"1,198","2,292",424,907,292,32,47,28,20,102,"5,342","1,300",Tasmania
LGA60610 Burnie (C),"2,597","2,449",977,635,573,53,90,51,26,166,"7,617","1,148",Tasmania
LGA60810 Central Coast (M),"3,326","2,810",560,441,632,25,100,61,82,252,"8,289","1,213",Tasmania
LGA61010 Central Highlands (M),428,239,23,8,82,0,73,21,13,20,907,832,Tasmania
LGA61210 Circular Head (M),"1,050","1,073",200,98,212,46,139,54,31,70,"2,973","1,097",Tasmania
LGA61410 Clarence (C),"7,355","7,602","1,395","1,165","1,434",75,143,85,135,456,"19,845","1,500",Tasmania
LGA61510 Derwent Valley (M),"1,297","1,412",253,201,285,18,52,28,17,108,"3,671","1,200",Tasmania
LGA61610 Devonport (C),"3,452","2,966",981,934,831,67,119,60,62,289,"9,761","1,257",Tasmania
LGA61810 Dorset (M),"1,192",801,155,65,240,25,73,46,37,62,"2,696",975,Tasmania
LGA62010 Flinders (M),153,73,0,31,36,10,22,10,3,8,346,975,Tasmania
LGA62210 George Town (M),930,778,325,216,190,20,30,20,18,78,"2,605","1,200",Tasmania
LGA62410 Glamorgan/Spring Bay (M),846,389,104,27,204,4,48,27,19,53,"1,721","1,083",Tasmania
LGA62610 Glenorchy (C),"5,755","6,146","1,888","1,526","1,781",198,279,108,100,514,"18,295","1,322",Tasmania
