Local Government Area,Owned - outright,Owned - with a mortgage,Rented - Real estate agent,Rented - State or territory housing authority,Rented - Person not in same household,"Rented - Housing co-operative, community or church group",Rented - Other landlord type ,Rented - Landlord type not stated,Other tenure type,Tenure type not stated,Total,Median mortgage repayment ($/monthly),State
LGA70700 Coomalie (S),144,97,15,28,44,14,24,12,7,18,403,"1,300",Northern Territory
LGA71000 Darwin (C),"4,587","7,675","4,910","1,777","2,687",174,"1,305",168,143,821,"24,247","2,167",Northern Territory
LGA71300 East Arnhem (S),11,4,0,590,4,311,195,24,35,30,"1,204",108,Northern Territory
LGA72200 Katherine (T),403,738,279,334,217,103,467,29,22,197,"2,789","1,733",Northern Territory
LGA72300 Litchfield (M),"1,584","2,795",239,18,547,24,100,86,48,139,"5,580","2,167",Northern Territory
LGA72330 MacDonnell (S),50,8,0,397,8,225,176,33,31,79,"1,007","1,625",Northern Territory
LGA72800 Palmerston (C),738,"3,718","1,749",868,755,33,691,42,26,196,"8,816","2,167",Northern Territory
LGA73600 Roper Gulf (S),130,37,0,396,18,242,115,33,26,80,"1,077",806,Northern Territory
LGA74050 Tiwi Islands (S),7,9,0,337,3,93,68,9,15,17,558,542,Northern Territory
LGA74500 Victoria-Daly (S),82,25,0,580,37,114,195,57,24,57,"1,171",834,Northern Territory
LGA74560 Wagait (S),57,73,3,0,14,0,0,7,3,8,165,"2,100",Northern Territory
LGA74660 West Arnhem (S),22,4,0,376,6,141,383,40,22,33,"1,027",108,Northern Territory
